Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region1G,470,FD,7.2000000000003865,B1715,5,35255,0.037251984,0.03711718,0.039116817244381666
Region1G,470,FD,7.300000000000388,B1715,5,35256,0.036795635,0.03717437,-0.04896809014609636
Region1G,470,FD,7.400000000000389,B1715,5,35257,0.037012722,0.037322596,-0.08380696292541062
Region1G,470,FD,7.500000000000391,B1715,5,35258,0.03718429,0.037644725,-0.07625144086715153
Region1G,470,FD,7.600000000000392,B1715,5,35259,0.037406046,0.037276494,-0.05107527319210697
Region1G,470,FD,7.700000000000394,B1715,5,35260,0.037653478,0.037127684,-0.013908771087066403
Region1G,470,FD,7.800000000000395,B1715,5,35261,0.038709734,0.037574697,0.022089674606403154
Region1G,470,FD,7.9000000000003965,B1715,5,35262,0.039137488,0.037536765,0.06020114368555663
Region1G,470,FD,8.000000000000398,B1715,5,35263,0.039393091,0.037717087,0.08369452415821468
Region1G,470,FD,8.1000000000004,B1715,5,35264,0.039111228,0.037700747,0.09532516126583894
Region1G,470,FD,8.2000000000004,B1715,5,35265,0.038877801,0.037830299,0.14183395165644086
Region1G,470,FD,8.300000000000402,B1715,5,35266,0.038564426,0.038013539,0.2011047745805172
Region1G,470,FD,8.400000000000404,B1715,5,35267,0.038212535,0.038038049,0.22027134119421685
Region1G,470,FD,8.500000000000405,B1715,5,35268,0.03780929,0.038058473,0.22514029227345225
Region1G,470,FD,8.600000000000406,B1715,5,35269,0.039390173,0.037988445,0.2262878639163764
Region1G,470,FD,8.700000000000408,B1715,5,35270,0.039969655,0.037654645,0.25109968871047633
Region1G,470,FD,8.80000000000041,B1715,5,35271,0.039565243,0.037940593,0.26023116664417745
Region1G,470,FD,8.90000000000041,B1715,5,35272,0.039695962,0.038243464,0.26481666723566805
Region1G,470,FD,9.000000000000412,B1715,5,35273,0.039659197,0.038129669,0.2797556805425456
Region1G,470,FD,9.100000000000414,B1715,5,35274,0.039796335,0.037420051,0.30793836024801874
Region1G,470,FD,9.200000000000415,B1715,5,35275,0.038766923,0.037086251,0.2951317281568202
Region1G,470,FD,9.300000000000416,B1715,5,35276,0.037738679,0.036273343,0.26069349593888963
Region1G,470,FD,9.400000000000418,B1715,5,35277,0.037769024,0.036348623,0.25368266891114905
Region1G,470,FD,9.50000000000042,B1715,5,35278,0.03789099,0.036498599,0.2592969446309761
Region1G,470,FD,9.60000000000042,B1715,5,35279,0.038180439,0.036622316,0.2533723389006136
Region1G,470,FD,9.700000000000422,B1715,5,35280,0.038489729,0.037123016,0.22729722589202184
Region1G,470,FD,9.800000000000423,B1715,5,35281,0.038652544,0.0367507,0.23582513736242205
Region1G,470,FD,9.900000000000425,B1715,5,35282,0.038987512,0.03664916,0.25763648333631145
Region1G,470,FD,10.000000000000426,B1715,5,35283,0.03875,0.036879669,0.27278470627285273
Region1G,470,FD,10.100000000000428,B1715,5,35284,0.038688142,0.037041317,0.27866253179464473
Region1G,470,FD,10.20000000000043,B1715,5,35285,0.038984594,0.036963702,0.2897673411621567
Region1G,470,FD,10.30000000000043,B1715,5,35286,0.03881711,0.036875584,0.29686072401954183
Region1G,470,FD,10.400000000000432,B1715,5,35287,0.038538165,0.036805556,0.28501581741021875
Region1G,470,FD,10.500000000000433,B1715,5,35288,0.038339169,0.036947946,0.25794373530254083
Region1G,470,FD,10.600000000000435,B1715,5,35289,0.038589519,0.036684174,0.23016992388208493
Region1G,470,FD,10.700000000000436,B1715,5,35290,0.038643791,0.03697479,0.2134612926068803
Region1G,470,FD,10.800000000000438,B1715,5,35291,0.038348506,0.036938609,0.17884817809790873
Region1G,470,FD,10.90000000000044,B1715,5,35292,0.038164683,0.036839402,0.2064061600990578
Region1G,470,FD,11.00000000000044,B1715,5,35293,0.037993697,0.037230976,0.3171463385946787
Region1G,470,FD,11.100000000000442,B1715,5,35294,0.038024043,0.036883754,0.48013121250376295
Region1G,470,FD,11.200000000000443,B1715,5,35295,0.037804038,0.036975373,0.6266712887157446
Region1G,470,FD,11.300000000000445,B1715,5,35296,0.039819094,0.036992297,0.7504026039501119
Region1G,470,FD,11.400000000000446,B1715,5,35297,0.042561858,0.037243814,0.8563652337770757
Region1G,470,FD,11.500000000000448,B1715,5,35298,0.043981092,0.037090336,0.9409852960614455
Region1G,470,FD,11.600000000000449,B1715,5,35299,0.043832283,0.037116013,1.0099664713438945
Region1G,470,FD,11.70000000000045,B1715,5,35300,0.043014122,0.037240313,1.0661826001833463
Region1G,470,FD,11.800000000000452,B1715,5,35301,0.042034314,0.037065826,1.1225960078419386
Region1G,470,FD,11.900000000000453,B1715,5,35302,0.04118289,0.037075747,1.1183899996978937
Region1G,470,FD,12.000000000000455,B1715,5,35303,0.040334967,0.037212885,1.025183666591691
Region1G,470,FD,12.100000000000456,B1715,5,35304,0.039998249,0.036988212,0.8811308076492369
Region1G,470,FD,12.200000000000458,B1715,5,35305,0.039855859,0.037205882,0.7326855422630256
Region1G,470,FD,12.300000000000459,B1715,5,35306,0.039511555,0.0367081,0.6010151369549492
Region1G,470,FD,12.40000000000046,B1715,5,35307,0.039290966,0.037095005,0.4706627429212741
Region1G,470,FD,12.500000000000462,B1715,5,35308,0.039039449,0.03705824,0.35507827018899835
Region1G,470,FD,12.600000000000463,B1715,5,35309,0.038704482,0.037019141,0.26141268008437585
Region1G,470,FD,12.700000000000465,B1715,5,35310,0.038243464,0.03675887,0.169496331162699
Region1G,470,FD,12.800000000000466,B1715,5,35311,0.037692577,0.03726774,0.08661199426767405
Region1G,470,FD,12.900000000000468,B1715,5,35312,0.037377451,0.037334267,0.004673826204708721
Region1G,470,FD,13.000000000000469,B1715,5,35313,0.037193044,0.037319678,-0.047593046002821715
Region1G,470,FD,13.10000000000047,B1715,5,35314,0.037202965,0.037605626,-0.0805841811606679
Region1G,470,FD,13.200000000000472,B1715,5,35315,0.037371032,0.037826797,-0.11169492113442676
Region1G,470,FD,13.300000000000473,B1715,5,35316,0.037536181,0.038178688,-0.13783379897393172
Region1G,470,FD,13.400000000000475,B1715,5,35317,0.038231209,0.03839169,-0.15011687229082638
Region1G,470,FD,13.500000000000476,B1715,5,35318,0.038608777,0.038302988,-0.15856810988633602
Region1G,470,FD,13.600000000000477,B1715,5,35319,0.03785014,0.037394958,-0.1554492566301907
Region1G,470,FD,13.700000000000479,B1715,5,35320,0.037284664,0.036646242,-0.13488051183188063
Region1G,470,FD,13.80000000000048,B1715,5,35321,0.036941527,0.036682423,-0.12175989452644097
Region1G,470,FD,13.900000000000482,B1715,5,35322,0.036694678,0.036637488,-0.12113919533524124
Region1G,470,FD,14.000000000000483,B1715,5,35323,0.036676004,0.036214402,-0.145876025409721
Region1G,470,FD,14.100000000000485,B1715,5,35324,0.037297502,0.036528361,-0.19404803204541157
Region1G,470,FD,14.200000000000486,B1715,5,35325,0.03758345,0.037412465,-0.22445070215476642
Region1G,470,FD,14.300000000000487,B1715,5,35326,0.037065243,0.037307423,-0.25545276043112297
Region1G,470,FD,14.400000000000489,B1715,5,35327,0.036652661,0.037089753,-0.26675615627318106
Region1G,470,FD,14.50000000000049,B1715,5,35328,0.03614204,0.036844071,-0.2517282499236699
Region1G,470,FD,14.600000000000492,B1715,5,35329,0.03630077,0.036489262,-0.22482806803981056
Region1G,470,FD,14.700000000000493,B1715,5,35330,0.036446078,0.037043067,-0.19811067160629997
Region1G,470,FD,14.800000000000495,B1715,5,35331,0.036895425,0.037292834,-0.17428657645449527
Region1G,470,FD,14.900000000000496,B1715,5,35332,0.037352358,0.036900093,-0.12383105769605231
Region1G,470,FD,15.000000000000497,B1715,5,35333,0.038263889,0.037411881,-0.04395071307697119
Region1G,470,FD,15.100000000000499,B1715,5,35334,0.038612862,0.037251401,0.057385930452336635
Region1G,470,FD,15.2000000000005,B1715,5,35335,0.038262722,0.037178455,0.1572433089121639
Region1G,470,FD,15.300000000000502,B1715,5,35336,0.038839286,0.037403711,0.2678929581303013
Region1G,470,FD,15.400000000000503,B1715,5,35337,0.039726891,0.037712418,0.37992779560057904
Region1G,470,FD,15.500000000000504,B1715,5,35338,0.0398331,0.037260738,0.46184273783002333
Region1G,470,FD,15.600000000000506,B1715,5,35339,0.040035598,0.037073996,0.5185102162172649
Region1G,470,FD,15.700000000000507,B1715,5,35340,0.040259687,0.037111928,0.5603213567585539
Region1G,470,FD,15.800000000000509,B1715,5,35341,0.04067402,0.037215219,0.6137481989869034
Region1G,470,FD,15.90000000000051,B1715,5,35342,0.040370565,0.037299837,0.6476309428059555
Region1G,470,FD,16.00000000000051,B1715,5,35343,0.040249767,0.03750817,0.6666397328409521
Region1G,470,FD,16.100000000000513,B1715,5,35344,0.040220588,0.037577614,0.6651748569384328
