Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,dFF,zdFF
Region0R,560,FD,12.700000000000465,B1757,5,5267,0.0310030618854148,0.0167616145557322,0.006121269372927842,0.23908480849409827
Region0R,560,FD,12.800000000000466,B1757,5,5268,0.0310288229405876,0.0167307012895248,0.005792019510203682,0.14121671596761562
Region0R,560,FD,12.900000000000468,B1757,5,5269,0.0310067420361538,0.0166894836012483,0.005515888040993843,0.059137835343319636
Region0R,560,FD,13.000000000000469,B1757,5,5270,0.0315683330389213,0.0167881116410528,0.006365023269992484,0.3115395963389124
Region0R,560,FD,13.10000000000047,B1757,5,5271,0.0313328033916269,0.0168087204851911,0.007993994959355674,0.7957443601573885
Region0R,560,FD,13.200000000000472,B1757,5,5272,0.031583789672025,0.0168418418418418,0.008506919026999226,0.9482088128252241
Region0R,560,FD,13.300000000000473,B1757,5,5273,0.0314814814814815,0.0168241771182948,0.008984507340862988,1.0901698660632146
Region0R,560,FD,13.400000000000475,B1757,5,5274,0.031497674144733,0.0167594064652888,0.0090956033057065,1.123192659380923
Region0R,560,FD,13.500000000000476,B1757,5,5275,0.0311274509803922,0.0166129364658776,0.010416852644792689,1.5159282903037927
Region0R,560,FD,13.600000000000477,B1757,5,5276,0.0314145027380321,0.0168396337513985,0.00842423609904519,0.9236316713910137
Region0R,560,FD,13.700000000000479,B1757,5,5277,0.0311576282164517,0.0167645586763234,0.009873957923390797,1.3545551908993063
Region0R,560,FD,13.80000000000048,B1757,5,5278,0.0315940940940941,0.0168896838014485,0.008130640565691358,0.8363616735058286
Region0R,560,FD,13.900000000000482,B1757,5,5279,0.0313305953011835,0.0166644585762233,0.009126969424121912,1.132516101929623
Region0R,560,FD,14.000000000000483,B1757,5,5280,0.0313328033916269,0.0169044044044044,0.006962148277961026,0.4890324130290188
Region0R,560,FD,14.100000000000485,B1757,5,5281,0.0313276511805924,0.0166740269681446,0.006599192105376121,0.3811452662047326
